Company,Licence Number,Licence Status,Surface Location,UWI,Field/Area Name,Pool/Deposit Name,"Final Total Depth, m",Last Volumetric Activity Date,"Last Annual Oil Prod, m³","Last Annual Gas Prod, 10³m³","Last Annual Water Prod, m³",,status,,SCVF or GM History,Well Deviation,Cement Top,Casing Failure History,Well Age,Suspended Well Status  Date,H2S,Land Use,Protection of Useable Water Aquifers,Proximity to Nearest Water Well,Well Accessibility,TVD (mKB),Well Operation type,TOTAL SCORE,,SCVF or GM History (4),Well Deviation (3),Cement Top (3),Casing Failure History (3),Well Age (3),Suspended Well Status  Date (3),H2S (4),Land Use (4),Protection of Useable Water Aquifers(3),Proximity to Nearest Water Well (2) ,Well Accessibility (3),TVD (mKB) (2),Well Operation type (3),total score
Alston Energy Inc. A5MK,144041,Issued,06-29-038-03W4,B2/06-29-038-03W4/0,PROVOST,DINA GGG,855,1997-10-01,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,2008+,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1150,,20,3,12,6,9,3,4,16,15,6,9,6,6,1150
Alston Energy Inc. A5MK,207409,Issued,13-27-038-03W4,00/13-27-038-03W4/0,,,889,,,,,,Abandoned / Drilled & Cased,,Not Tested,Deviated below 600 m KB,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1290,,20,9,12,6,9,9,4,16,15,8,9,6,6,1290
Alston Energy Inc. A5MK,207411,Issued,05-27-038-03W4,00/05-27-038-03W4/0,,,880,,,,,,Abandoned / Drilled & Cased,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1210,,20,3,12,6,9,9,4,16,15,6,9,6,6,1210
Alston Energy Inc. A5MK,292332,Issued,11-28-038-03W4,00/11-28-038-03W4/0,PROVOST,BASAL BELLY RIVER LL,250,2010-09-01,0,126,12,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud After 1997,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1380,,20,3,12,6,6,3,28,16,15,8,9,6,6,1380
Alston Energy Inc. A5MK,295929,Amended,12-22-038-03W4,03/12-22-038-03W4/0,,,881,,,,,,Abandoned,,No Historical SCVF or GM,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud 1975-1985 faulty casing history,Before August 1991,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 200m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1450,,4,3,12,6,15,15,28,16,15,10,9,6,6,1450
Alston Energy Inc. A5MK,328257,Issued,09-20-061-25W4,00/09-20-061-25W4/0,,,960,,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud After 1997,Sept. 2003 - Dec. 2007,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1170,,20,3,12,6,6,6,4,16,15,8,9,6,6,1170
Alston Energy Inc. A5MK,328257,Issued,09-20-061-25W4,00/09-20-061-25W4/2,WESTLOCK,COMMINGLED POOL 009,960,2014-06-01,0,169.5,121,,Gas Closed,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud After 1997,2008+,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1140,,20,3,12,6,6,3,4,16,15,8,9,6,6,1140
Alston Energy Inc. A5MK,328257,Issued,09-20-061-25W4,00/09-20-061-25W4/3,WESTLOCK,COMMINGLED POOL 009,960,2007-06-01,0,"2,589.40",6,,Closed Comm,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud After 1997,2008+,No H2S,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1140,,20,3,12,6,6,3,4,16,15,8,9,6,6,1140
Alston Energy Inc. A5MK,337267,Suspension,07-29-057-02W5,00/07-29-057-02W5/0,,,"1,275.00",,,,,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud After 1997,Sept. 2003 - Dec. 2007,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,1000-1999 mKB,All other wells types,1440,,20,3,15,6,6,6,28,16,15,6,9,8,6,1440
Alston Energy Inc. A5MK,337267,Suspension,07-29-057-02W5,00/07-29-057-02W5/2,,,"1,275.00",,,,,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud After 1997,Sept. 2003 - Dec. 2007,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",500m < WSW ≤ 1 km,Access clear 5m setback,1000-1999 mKB,All other wells types,1440,,20,3,15,6,6,6,28,16,15,6,9,8,6,1440
